_id,EKITALDIA/EJERCICIO,DATUAK ERAUZI DIREN EGUNA/FECHA EXTRACCION,LINEA_KODEA/CODIGO LINEA,LINEA/LINEA,ERREFORTZU/REFUERZO,EGUN MOTA/TIPO DIA,KOPURUA/NUMERO DIAS,ERREFORTZUAK EGUNEAN/REFUERZOS AL DIA,ERREFORTZUAK GUZTIRA/TOTAL REFUERZOS,JOANAK EGUNEAN/IDAS AL DIA,JOANAK GUZTIRA/TOTAL IDAS,ITZULIAK EGUNEAN/VUELTAS AL DIA,ITZULIAK GUZTIRA/TOTAL VUELTAS
39,2025,2025-07-25 08:03:35,A0651,BILBAO - BALMASEDA,1,Laborable,88,6,528,2,176,4,352
40,2025,2025-07-25 08:03:35,A0651,BILBAO - BALMASEDA,2,Laborable,6,3,18,0,0,3,18
41,2025,2025-07-25 08:03:35,A0651,BILBAO - BALMASEDA,3,Laborable,29,5,145,1,29,4,116
42,2025,2025-07-25 08:03:35,A2161,Bizkaia Zubia/Puente Bizkaia - UPV/EHU,1,Laborable,110,1,110,1,110,0,0
43,2025,2025-07-25 08:03:35,A2162,Andramari/Santa Maria Getxo - UPV/EHU (Algorta),1,Lunes a Jueves,60,1,60,1,60,0,0
44,2025,2025-07-25 08:03:35,A2312,Zabalburu - UPV/EHU  (Juan de Garay),1,Laborable,74,3,222,2,148,1,74
45,2025,2025-07-25 08:03:35,A2314,BILBAO - Erandiogoikoa - UPV/EHU,1,Lunes a Jueves,52,2,104,1,52,1,52
46,2025,2025-07-25 08:03:35,A2314,BILBAO - Erandiogoikoa - UPV/EHU,1,Laborable,64,3,192,2,128,1,64
47,2025,2025-07-25 08:03:35,A2314,BILBAO - Erandiogoikoa - UPV/EHU,2,Lunes a Jueves,8,1,8,1,8,0,0
48,2025,2025-07-25 08:03:35,A2314,BILBAO - Erandiogoikoa - UPV/EHU,2,Laborable,10,2,20,1,10,1,10
49,2025,2025-07-25 08:03:35,A2315,SANTURTZI - PORTUGALETE - UPV/EHU,1,Laborable,74,1,74,1,74,0,0
50,2025,2025-07-25 08:03:35,A2318,Termibus - UPV/EHU (Autopista),1,Laborable,52,6,312,3,156,3,156
51,2025,2025-07-25 08:03:35,A2318,Termibus - UPV/EHU (Autopista),1,Viernes,12,1,12,0,0,1,12
52,2025,2025-07-25 08:03:35,A2318,Termibus - UPV/EHU (Autopista),2,Laborable,10,3,30,2,20,1,10
53,2025,2025-07-25 08:03:35,A2321,Santutxu - UPV/EHU (Autopista),1,Lunes a Jueves,52,1,52,0,0,1,52
54,2025,2025-07-25 08:03:35,A2321,Santutxu - UPV/EHU (Autopista),1,Laborable,64,2,128,2,128,0,0
55,2025,2025-07-25 08:03:35,A2321,Santutxu - UPV/EHU (Autopista),2,Lunes a Jueves,8,1,8,0,0,1,8
56,2025,2025-07-25 08:03:35,A2321,Santutxu - UPV/EHU (Autopista),2,Laborable,10,1,10,1,10,0,0
57,2025,2025-07-25 08:03:35,A2324,BILBAO - UPV/EHU (Enekuri),1,Lunes a Jueves,14,1,14,1,14,0,0
58,2025,2025-07-25 08:03:35,A2324,BILBAO - UPV/EHU (Enekuri),1,Laborable,18,2,36,2,36,0,0
59,2025,2025-07-25 08:03:35,A2324,BILBAO - UPV/EHU (Enekuri),2,Laborable,10,2,20,2,20,0,0
60,2025,2025-07-25 08:03:35,A2324,BILBAO - UPV/EHU (Enekuri),3,Lunes a Jueves,38,2,76,2,76,0,0
61,2025,2025-07-25 08:03:35,A2324,BILBAO - UPV/EHU (Enekuri),3,Laborable,46,2,92,2,92,0,0
62,2025,2025-07-25 08:03:35,A2326,BARAKALDO - UPV/EHU,1,Laborable,74,2,148,1,74,1,74
63,2025,2025-07-25 08:03:35,A3250,BILBAO - Teknologia Parkea/Parque TecnolÃ³gico (Artxandako Tunelak/Tuneles Artxanda),1,Lunes a Jueves,97,2,194,0,0,2,194
64,2025,2025-07-25 08:03:35,A3321,PORTUGALETE - ZIERBENA - La Arena - MUSKIZ,1,Laborable,95,1,95,1,95,0,0
65,2025,2025-07-25 08:03:35,A3336,BILBAO - MUSKIZ,1,Laborable,95,1,95,1,95,0,0
66,2025,2025-07-25 08:03:35,A3414,BILBAO - GETXO (Artxandako tuneletatik/por tÃºneles de Artxanda),1,Laborable,123,2,246,0,0,2,246
67,2025,2025-07-25 08:03:35,A3512,BILBAO - LEKEITIO (Autopista),1,Laborable,95,1,95,0,0,1,95
68,2025,2025-07-25 08:03:35,A3514,BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,1,Laborable,123,2,246,0,0,2,246
69,2025,2025-07-25 08:03:35,A3515,BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,1,Laborable,123,1,123,0,0,1,123
70,2025,2025-07-25 08:03:35,A3518,BILBAO -MUNGIA - BAKIO (Autopista),1,Laborable,107,3,321,1,107,2,214
71,2025,2025-07-25 08:03:35,A3518,BILBAO -MUNGIA - BAKIO (Autopista),2,Laborable,16,4,64,1,16,3,48
72,2025,2025-07-25 08:03:35,A3525,GERNIKA LUMO - AMOREBIETA ETXANO  - UPV/EHU,1,Laborable,74,1,74,1,74,0,0
73,2025,2025-07-25 08:03:35,A3527,BILBAO - MUNGIA - BERMEO (Autopista),1,Laborable,123,9,1107,3,369,6,738
84,2025,2025-10-25 08:05:32,A0651,BILBAO - BALMASEDA,1,Laborable,105,6,630,2,210,4,420
85,2025,2025-10-25 08:05:32,A0651,BILBAO - BALMASEDA,2,Laborable,27,3,81,0,0,3,81
86,2025,2025-10-25 08:05:32,A0651,BILBAO - BALMASEDA,3,Laborable,34,5,170,1,34,4,136
87,2025,2025-10-25 08:05:32,A2161,Bizkaia Zubia/Puente Bizkaia - UPV/EHU,1,Laborable,127,1,127,1,127,0,0
1,2025,2025-04-25 08:02:56,A0651,BILBAO - BALMASEDA,1,Laborable,55,6,330,2,110,4,220
2,2025,2025-04-25 08:02:56,A0651,BILBAO - BALMASEDA,2,Laborable,2,3,6,0,0,3,6
3,2025,2025-04-25 08:02:56,A0651,BILBAO - BALMASEDA,3,Laborable,5,5,25,1,5,4,20
4,2025,2025-04-25 08:02:56,A2161,Bizkaia Zubia/Puente Bizkaia - UPV/EHU,1,Laborable,60,1,60,1,60,0,0
5,2025,2025-04-25 08:02:56,A2162,Andramari/Santa Maria Getxo - UPV/EHU (Algorta),1,Lunes a Jueves,39,1,39,1,39,0,0
6,2025,2025-04-25 08:02:56,A2312,Zabalburu - UPV/EHU  (Juan de Garay),1,Laborable,49,3,147,2,98,1,49
7,2025,2025-04-25 08:02:56,A2314,BILBAO - Erandiogoikoa - UPV/EHU,1,Lunes a Jueves,39,2,78,1,39,1,39
8,2025,2025-04-25 08:02:56,A2314,BILBAO - Erandiogoikoa - UPV/EHU,1,Laborable,49,3,147,2,98,1,49
9,2025,2025-04-25 08:02:56,A2315,SANTURTZI - PORTUGALETE - UPV/EHU,1,Laborable,49,1,49,1,49,0,0
10,2025,2025-04-25 08:02:56,A2318,Termibus - UPV/EHU (Autopista),1,Laborable,39,6,234,3,117,3,117
11,2025,2025-04-25 08:02:56,A2318,Termibus - UPV/EHU (Autopista),1,Viernes,10,1,10,0,0,1,10
12,2025,2025-04-25 08:02:56,A2321,Santutxu - UPV/EHU (Autopista),1,Lunes a Jueves,39,1,39,0,0,1,39
13,2025,2025-04-25 08:02:56,A2321,Santutxu - UPV/EHU (Autopista),1,Laborable,49,2,98,2,98,0,0
14,2025,2025-04-25 08:02:56,A2324,BILBAO - UPV/EHU (Enekuri),1,Lunes a Jueves,14,1,14,1,14,0,0
15,2025,2025-04-25 08:02:56,A2324,BILBAO - UPV/EHU (Enekuri),1,Laborable,18,2,36,2,36,0,0
16,2025,2025-04-25 08:02:56,A2324,BILBAO - UPV/EHU (Enekuri),3,Lunes a Jueves,25,2,50,2,50,0,0
17,2025,2025-04-25 08:02:56,A2324,BILBAO - UPV/EHU (Enekuri),3,Laborable,31,2,62,2,62,0,0
18,2025,2025-04-25 08:02:56,A2326,BARAKALDO - UPV/EHU,1,Laborable,49,2,98,1,49,1,49
19,2025,2025-04-25 08:02:56,A3250,BILBAO - Teknologia Parkea/Parque TecnolÃ³gico (Artxandako Tunelak/Tuneles Artxanda),1,Lunes a Jueves,48,2,96,0,0,2,96
20,2025,2025-04-25 08:02:56,A3321,PORTUGALETE - ZIERBENA - La Arena - MUSKIZ,1,Laborable,60,1,60,1,60,0,0
21,2025,2025-04-25 08:02:56,A3336,BILBAO - MUSKIZ,1,Laborable,60,1,60,1,60,0,0
22,2025,2025-04-25 08:02:56,A3414,BILBAO - GETXO (Artxandako tuneletatik/por tÃºneles de Artxanda),1,Laborable,62,2,124,0,0,2,124
23,2025,2025-04-25 08:02:56,A3512,BILBAO - LEKEITIO (Autopista),1,Laborable,60,1,60,0,0,1,60
24,2025,2025-04-25 08:02:56,A3514,BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,1,Laborable,62,2,124,0,0,2,124
25,2025,2025-04-25 08:02:56,A3515,BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,1,Laborable,62,1,62,0,0,1,62
26,2025,2025-04-25 08:02:56,A3518,BILBAO -MUNGIA - BAKIO (Autopista),1,Laborable,62,3,186,1,62,2,124
27,2025,2025-04-25 08:02:56,A3525,GERNIKA LUMO - AMOREBIETA ETXANO  - UPV/EHU,1,Laborable,49,1,49,1,49,0,0
28,2025,2025-04-25 08:02:56,A3527,BILBAO - MUNGIA - BERMEO (Autopista),1,Laborable,62,9,558,3,186,6,372
29,2025,2025-04-25 08:02:56,A3911,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ELORRIO,1,Lunes a Jueves,48,1,48,1,48,0,0
30,2025,2025-04-25 08:02:56,A3911,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ELORRIO,1,Viernes,12,1,12,1,12,0,0
31,2025,2025-04-25 08:02:56,A3916,BILBAO - ERMUA - ONDARROA (Autopista),1,Laborable,62,1,62,0,0,1,62
32,2025,2025-04-25 08:02:56,A3923,BILBAO - DURANGO - ELORRIO (Autopista),1,Lunes a Jueves,49,2,98,2,98,0,0
33,2025,2025-04-25 08:02:56,A3923,BILBAO - DURANGO - ELORRIO (Autopista),1,Laborable,62,2,124,1,62,1,62
34,2025,2025-04-25 08:02:56,A3924,ERMUA - DURANGO - UPV/EHU,1,Laborable,49,5,245,3,147,2,98
35,2025,2025-04-25 08:02:56,A3930,BILBAO - GALDAKAO (Autopista),1,Lunes a Jueves,48,1,48,0,0,1,48
36,2025,2025-04-25 08:02:56,A3932,GALDAKAO - Metro Bolueta,1,Laborable,62,2,124,2,124,0,0
37,2025,2025-04-25 08:02:56,A3933,BILBAO - DURANGO (Autopista),1,Laborable,49,2,98,0,0,2,98
38,2025,2025-04-25 08:02:56,A3933,BILBAO - DURANGO (Autopista),1,Viernes,13,1,13,1,13,0,0
74,2025,2025-07-25 08:03:35,A3911,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ELORRIO,1,Lunes a Jueves,77,1,77,1,77,0,0
75,2025,2025-07-25 08:03:35,A3911,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ELORRIO,1,Viernes,18,1,18,1,18,0,0
76,2025,2025-07-25 08:03:35,A3916,BILBAO - ERMUA - ONDARROA (Autopista),1,Laborable,123,1,123,0,0,1,123
77,2025,2025-07-25 08:03:35,A3923,BILBAO - DURANGO - ELORRIO (Autopista),1,Lunes a Jueves,98,2,196,2,196,0,0
78,2025,2025-07-25 08:03:35,A3923,BILBAO - DURANGO - ELORRIO (Autopista),1,Laborable,123,2,246,1,123,1,123
79,2025,2025-07-25 08:03:35,A3924,ERMUA - DURANGO - UPV/EHU,1,Laborable,74,5,370,3,222,2,148
80,2025,2025-07-25 08:03:35,A3930,BILBAO - GALDAKAO (Autopista),1,Lunes a Jueves,97,1,97,0,0,1,97
81,2025,2025-07-25 08:03:35,A3932,GALDAKAO - Metro Bolueta,1,Laborable,123,2,246,2,246,0,0
82,2025,2025-07-25 08:03:35,A3933,BILBAO - DURANGO (Autopista),1,Laborable,98,2,196,0,0,2,196
83,2025,2025-07-25 08:03:35,A3933,BILBAO - DURANGO (Autopista),1,Viernes,25,1,25,1,25,0,0
88,2025,2025-10-25 08:05:32,A2162,Andramari/Santa Maria Getxo - UPV/EHU (Algorta),1,Lunes a Jueves,74,1,74,1,74,0,0
89,2025,2025-10-25 08:05:32,A2312,Zabalburu - UPV/EHU  (Juan de Garay),1,Laborable,91,3,273,2,182,1,91
90,2025,2025-10-25 08:05:32,A2314,BILBAO - Erandiogoikoa - UPV/EHU,1,Lunes a Jueves,66,2,132,1,66,1,66
91,2025,2025-10-25 08:05:32,A2314,BILBAO - Erandiogoikoa - UPV/EHU,1,Laborable,81,3,243,2,162,1,81
92,2025,2025-10-25 08:05:32,A2314,BILBAO - Erandiogoikoa - UPV/EHU,2,Lunes a Jueves,8,1,8,1,8,0,0
93,2025,2025-10-25 08:05:32,A2314,BILBAO - Erandiogoikoa - UPV/EHU,2,Laborable,10,2,20,1,10,1,10
94,2025,2025-10-25 08:05:32,A2315,SANTURTZI - PORTUGALETE - UPV/EHU,1,Laborable,91,1,91,1,91,0,0
95,2025,2025-10-25 08:05:32,A2318,Termibus - UPV/EHU (Autopista),1,Laborable,66,6,396,3,198,3,198
96,2025,2025-10-25 08:05:32,A2318,Termibus - UPV/EHU (Autopista),1,Viernes,15,1,15,0,0,1,15
97,2025,2025-10-25 08:05:32,A2318,Termibus - UPV/EHU (Autopista),2,Laborable,10,3,30,2,20,1,10
98,2025,2025-10-25 08:05:32,A2321,Santutxu - UPV/EHU (Autopista),1,Lunes a Jueves,66,1,66,0,0,1,66
99,2025,2025-10-25 08:05:32,A2321,Santutxu - UPV/EHU (Autopista),1,Laborable,81,2,162,2,162,0,0
100,2025,2025-10-25 08:05:32,A2321,Santutxu - UPV/EHU (Autopista),2,Lunes a Jueves,8,1,8,0,0,1,8
101,2025,2025-10-25 08:05:32,A2321,Santutxu - UPV/EHU (Autopista),2,Laborable,10,1,10,1,10,0,0
102,2025,2025-10-25 08:05:32,A2324,BILBAO - UPV/EHU (Enekuri),1,Lunes a Jueves,28,1,28,1,28,0,0
103,2025,2025-10-25 08:05:32,A2324,BILBAO - UPV/EHU (Enekuri),1,Laborable,35,2,70,2,70,0,0
104,2025,2025-10-25 08:05:32,A2324,BILBAO - UPV/EHU (Enekuri),2,Laborable,10,2,20,2,20,0,0
105,2025,2025-10-25 08:05:32,A2324,BILBAO - UPV/EHU (Enekuri),3,Lunes a Jueves,38,2,76,2,76,0,0
106,2025,2025-10-25 08:05:32,A2324,BILBAO - UPV/EHU (Enekuri),3,Laborable,46,2,92,2,92,0,0
107,2025,2025-10-25 08:05:32,A2326,BARAKALDO - UPV/EHU,1,Laborable,91,2,182,1,91,1,91
108,2025,2025-10-25 08:05:32,A3250,BILBAO - Teknologia Parkea/Parque TecnolÃ³gico (Artxandako Tunelak/Tuneles Artxanda),1,Lunes a Jueves,115,2,230,0,0,2,230
109,2025,2025-10-25 08:05:32,A3321,PORTUGALETE - ZIERBENA - La Arena - MUSKIZ,1,Laborable,112,1,112,1,112,0,0
110,2025,2025-10-25 08:05:32,A3336,BILBAO - MUSKIZ,1,Laborable,112,1,112,1,112,0,0
111,2025,2025-10-25 08:05:32,A3414,BILBAO - GETXO (Artxandako tuneletatik/por tÃºneles de Artxanda),1,Laborable,166,2,332,0,0,2,332
112,2025,2025-10-25 08:05:32,A3512,BILBAO - LEKEITIO (Autopista),1,Laborable,112,1,112,0,0,1,112
113,2025,2025-10-25 08:05:32,A3514,BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO,1,Laborable,166,2,332,0,0,2,332
114,2025,2025-10-25 08:05:32,A3515,BILBAO - AMOREBIETA ETXANO - GERNIKA LUMO - BERMEO,1,Laborable,166,1,166,0,0,1,166
115,2025,2025-10-25 08:05:32,A3518,BILBAO -MUNGIA - BAKIO (Autopista),1,Laborable,129,3,387,1,129,2,258
116,2025,2025-10-25 08:05:32,A3518,BILBAO -MUNGIA - BAKIO (Autopista),2,Laborable,37,4,148,1,37,3,111
117,2025,2025-10-25 08:05:32,A3525,GERNIKA LUMO - AMOREBIETA ETXANO  - UPV/EHU,1,Laborable,91,1,91,1,91,0,0
118,2025,2025-10-25 08:05:32,A3527,BILBAO - MUNGIA - BERMEO (Autopista),1,Laborable,166,9,1494,3,498,6,996
119,2025,2025-10-25 08:05:32,A3911,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ELORRIO,1,Lunes a Jueves,91,1,91,1,91,0,0
120,2025,2025-10-25 08:05:32,A3911,BILBAO - Hospital Galdakao Ospitalea - LEMOA - DURANGO - ELORRIO,1,Viernes,21,1,21,1,21,0,0
121,2025,2025-10-25 08:05:32,A3916,BILBAO - ERMUA - ONDARROA (Autopista),1,Laborable,145,1,145,0,0,1,145
122,2025,2025-10-25 08:05:32,A3923,BILBAO - DURANGO - ELORRIO (Autopista),1,Lunes a Jueves,116,2,232,2,232,0,0
123,2025,2025-10-25 08:05:32,A3923,BILBAO - DURANGO - ELORRIO (Autopista),1,Laborable,145,2,290,1,145,1,145
124,2025,2025-10-25 08:05:32,A3923,BILBAO - DURANGO - ELORRIO (Autopista),2,Laborable,21,2,42,1,21,1,21
125,2025,2025-10-25 08:05:32,A3924,ERMUA - DURANGO - UPV/EHU,1,Laborable,74,5,370,3,222,2,148
126,2025,2025-10-25 08:05:32,A3924,ERMUA - DURANGO - UPV/EHU,2,Laborable,17,5,85,3,51,2,34
127,2025,2025-10-25 08:05:32,A3930,BILBAO - GALDAKAO (Autopista),1,Lunes a Jueves,122,1,122,0,0,1,122
128,2025,2025-10-25 08:05:32,A3932,GALDAKAO - Metro Bolueta,1,Laborable,166,2,332,2,332,0,0
129,2025,2025-10-25 08:05:32,A3933,BILBAO - DURANGO (Autopista),1,Laborable,123,2,246,0,0,2,246
130,2025,2025-10-25 08:05:32,A3933,BILBAO - DURANGO (Autopista),1,Viernes,31,1,31,1,31,0,0
131,2025,2025-10-25 08:05:32,A3933,BILBAO - DURANGO (Autopista),2,Laborable,12,1,12,0,0,1,12
